"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",156.0,218.0,320.8528072837633,195.0,5.0,24473.0,24468.0,1087.0876635991594,311.0,500.0
"NOM",17.0,26.0,38.81183611532625,23.0,1.0,3038.0,3037.0,135.36588235494713,39.5,14.0
"NPM",16.0,25.0,32.35508345978756,22.0,1.0,2023.0,2022.0,90.66514380493233,38.5,20.0
"WMC",1140.0,1157.0,1018.4840667678301,1150.0,1.0,5446.0,5445.0,400.1605493100599,1182.5,100.0
"DEP",26.0,29.0,25.72534142640364,27.0,0.0,56.0,56.0,6.701220281393207,33.5,20.0
"I-DEP",1.0,3.0,3.1987860394537178,2.0,0.0,48.0,48.0,3.9975256058461177,6.0,15.0
"FAN-IN",1.0,1.0,3.597875569044006,1.0,0.0,559.0,559.0,23.531867039224494,1.0,10.0
"FAN-OUT",9.0,12.0,10.681335356600911,10.0,0.0,51.0,51.0,3.8340144503631692,16.5,15.0
"NOA",6.0,12.0,16.8391502276176,10.0,0.0,1382.0,1382.0,62.54381104745779,21.0,8.0
"LCOM3",0.7833333333333333,0.8444444444444444,0.8082175150060689,0.8125,0.0,1.5,1.5,0.14986584714681586,0.9361111111111111,0.8
"DIT",1.0,1.0,1.024279210925645,1.0,1.0,6.0,5.0,0.25725153053451705,1.0,4.0
"CHILD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
"NPA",0.0,0.0,0.010622154779969651,0.0,0.0,3.0,3.0,0.16946602255919532,0.0,1.0
"CDEP",0.0,0.0,0.0030349013657056147,0.0,0.0,1.0,1.0,0.05500627909071884,0.0,1.0
